"name","estimated y"
"0",48.8528578156
"1",54.6521889828
"2",35.7345751736
"3",69.6578875254
"4",52.2318195468
"5",47.0938659062
"6",44.0901288537
"7",64.1730872918
"8",68.247333407
"9",69.954321866
"10",-1.1708951763
"11",64.6024225401
"12",71.2304317316
"13",68.247333407
"14",80.616919134
"15",83.098542585
"16",78.6060977379
"17",75.6143468258
"18",79.4210480631
"19",90.0096355166
"20",68.3517713593
"21",75.0191942831
"22",77.4569508903
"23",67.6985017239
"24",62.7043545005
"25",78.1234735992
"26",73.4667533175
"27",79.3272012908
"28",78.3251596799
"29",77.2653051072
"30",71.7304606833
"31",78.6089335223
"32",89.0422802084
"33",10.3981331123
"34",10.6155133081
"35",38.0877612084
"36",32.5513309219
"37",23.4756524319
"38",22.0349796553
"39",52.6336085733
"40",24.0048262381
"41",25.9481806013
"42",80.0577911655
"43",65.4717228033
"44",59.2332447966
"45",55.0788602983
"46",48.721594522
"47",38.8584857187
"48",76.4356302141
"49",81.176471524
"50",86.595714397
"51",86.0268724364
"52",83.7983911598
"53",91.682525311
"54",79.5473642797
"55",96.53915466
"56",98.8195763694
"57",93.6432487906
"58",107.8453892052
"59",83.7681767728
"60",81.0483984672
"61",73.8787228546
"62",43.8880904822
"63",39.5810198452
"64",87.5277155406
"65",47.8297849907
"66",49.9719910166
"67",49.1899136823
"68",16.3528107461
"69",48.4744508304
"70",56.8422222767
"71",67.6324887186
"72",55.5231738106
"73",46.5287724699
"74",11.9607877016
"75",44.3327939109
"76",24.8308568593
"77",48.9669851584
"78",49.6782723931
"79",42.8329719715
"80",10.8866572558
"81",33.5828234778
"82",56.094436341
"83",47.5776777565
"84",56.9937984989
"85",17.5035013795
"86",32.1177912116
"87",39.1533361987
"88",32.7803642121
"89",18.5555418161
"90",20.8728046015
"91",20.8728046015
"92",31.2422646284
"93",60.6486943822
"94",65.5784117476
"95",62.7930143508
"96",70.335976244
"97",72.1587424716
"98",76.6502154721
"99",71.7152443356
"100",72.5222871643
"101",70.1358868311
"102",71.3558221383
"103",58.4841660321
"104",56.7002498279
"105",73.9633047155
"106",46.891388928
"107",78.159401774
"108",91.9659578652
"109",95.1740940475
"110",86.147004902
"111",79.7961503027
"112",96.4309854608
"113",82.4040938047
"114",96.8642210537
"115",87.8768858402
"116",87.852057757
"117",88.1571223551
"118",98.2068298007
"119",76.8385797148
"120",83.2131641271
