"name","estimated y"
"0",39.6748274255
"1",48.1770140268
"2",42.205402884
"3",66.6351767874
"4",40.0047226535
"5",49.0478488855
"6",49.3832707025
"7",52.3473859904
"8",56.5984792911
"9",59.4325414915
"10",3.2991764724
"11",64.7731593343
"12",71.8840293953
"13",56.5984792911
"14",75.1448638996
"15",79.9626725048
"16",72.0676180484
"17",60.9484000366
"18",76.8854266535
"19",90.1142378648
"20",69.1642389222
"21",76.1913717194
"22",78.7760642421
"23",62.9224194297
"24",60.890217847
"25",67.7309368108
"26",66.3826444048
"27",74.4277856214
"28",74.3433730557
"29",71.3505397701
"30",68.5774317439
"31",76.1683483753
"32",89.3971595866
"33",9.1008763734
"34",10.1822025618
"35",36.0020535236
"36",31.6556007083
"37",16.852472628
"38",22.2243779337
"39",49.343249534
"40",21.2551731913
"41",46.8347263596
"42",77.3442115563
"43",68.8959143895
"44",56.4542075228
"45",59.2323705738
"46",51.589395626
"47",42.215474376
"48",75.5230038088
"49",83.6253504213
"50",85.3087077794
"51",87.0470776364
"52",81.7684853439
"53",91.4146626266
"54",79.8813163126
"55",103.2874756853
"56",101.7760676586
"57",96.0101263468
"58",113.8377905523
"59",86.4427421969
"60",83.8330489281
"61",71.9497159296
"62",48.5186845857
"63",48.2876265894
"64",86.8171435376
"65",46.8488241411
"66",48.184439187
"67",48.7411592624
"68",49.4167168677
"69",47.4341956674
"70",56.6224325632
"71",68.3395787033
"72",56.7805471896
"73",45.0125651509
"74",24.8973042837
"75",45.7738994299
"76",19.6798408794
"77",47.1446684832
"78",44.3912385168
"79",43.0842749219
"80",45.0667961222
"81",32.8094071205
"82",57.1689246104
"83",48.5332074878
"84",58.5538747327
"85",17.4295339904
"86",34.4270059632
"87",38.3987352165
"88",40.1177184784
"89",21.1687101723
"90",35.9881954593
"91",35.9881954593
"92",31.3765523332
"93",48.4364139963
"94",61.2993638181
"95",65.745532465
"96",64.0706915551
"97",59.9604878238
"98",76.0595108915
"99",73.9613713506
"100",76.0595108915
"101",66.6667530466
"102",59.6301744153
"103",51.0639608957
"104",50.4696958873
"105",62.5783393245
"106",46.7093631568
"107",75.841787667
"108",86.2645724554
"109",91.5431647479
"110",79.7069356231
"111",80.2819723495
"112",92.8820407421
"113",86.3973303992
"114",94.6131692848
"115",77.6087960822
"116",85.8325888405
"117",86.3973303992
"118",94.0350230329
"119",74.3441404318
"120",83.0378872728
