"name","estimated y"
"0",64.4996701894
"1",64.4996701894
"2",20.1375846944
"3",64.4996701894
"4",64.4996701894
"5",80.8170116299
"6",80.8170116299
"7",64.4996701894
"8",64.4996701894
"9",64.4996701894
"10",64.4996701894
"11",79.375
"12",79.375
"13",64.4996701894
"14",80.8170116299
"15",80.8170116299
"16",80.8170116299
"17",64.4996701894
"18",80.8170116299
"19",80.8170116299
"20",64.4996701894
"21",64.4996701894
"22",64.4996701894
"23",80.8170116299
"24",80.8170116299
"25",80.8170116299
"26",80.8170116299
"27",80.8170116299
"28",64.4996701894
"29",80.8170116299
"30",64.4996701894
"31",80.8170116299
"32",80.8170116299
"33",20.1375846944
"34",20.1375846944
"35",64.4996701894
"36",20.1375846944
"37",64.4996701894
"38",64.4996701894
"39",64.4996701894
"40",64.4996701894
"41",64.4996701894
"42",80.8170116299
"43",80.8170116299
"44",64.4996701894
"45",64.4996701894
"46",64.4996701894
"47",64.4996701894
"48",79.375
"49",64.4996701894
"50",79.375
"51",79.375
"52",79.375
"53",64.4996701894
"54",79.375
"55",64.4996701894
"56",64.4996701894
"57",64.4996701894
"58",64.4996701894
"59",64.4996701894
"60",64.4996701894
"61",79.375
"62",64.4996701894
"63",64.4996701894
"64",20.1375846944
"65",36.7269131453
"66",36.7269131453
"67",64.4996701894
"68",64.4996701894
"69",64.4996701894
"70",40.0035681047
"71",67.286029056
"72",67.286029056
"73",64.4996701894
"74",64.4996701894
"75",67.286029056
"76",64.4996701894
"77",36.7269131453
"78",64.4996701894
"79",64.4996701894
"80",64.4996701894
"81",64.4996701894
"82",36.7269131453
"83",36.7269131453
"84",36.7269131453
"85",64.4996701894
"86",64.4996701894
"87",36.7269131453
"88",36.7269131453
"89",64.4996701894
"90",36.7269131453
"91",36.7269131453
"92",20.1375846944
"93",36.7269131453
"94",67.286029056
"95",64.4996701894
"96",64.4996701894
"97",67.286029056
"98",64.4996701894
"99",64.4996701894
"100",64.4996701894
"101",36.7269131453
"102",64.4996701894
"103",67.286029056
"104",67.286029056
"105",64.4996701894
"106",36.7269131453
"107",92.8333333333
"108",92.8333333333
"109",92.8333333333
"110",64.4996701894
"111",64.4996701894
"112",92.8333333333
"113",64.4996701894
"114",64.4996701894
"115",64.4996701894
"116",92.8333333333
"117",64.4996701894
"118",92.8333333333
"119",92.8333333333
"120",92.8333333333
